NOP :          A: 00 X: 00 Y: 00 PC: C8CF S: FB 
SEC :          A: 00 X: 00 Y: 00 PC: C8D0 S: FB 
CLV :          A: 00 X: 00 Y: 00 PC: C8D1 S: FB 
LDA : F8       A: 00 X: 00 Y: 00 PC: C8D2 S: FB 
AND : EF       A: F8 X: 00 Y: 00 PC: C8D4 S: FB 
BCC : 0B       A: E8 X: 00 Y: 00 PC: C8D6 S: FB 
BPL : 09       A: E8 X: 00 Y: 00 PC: C8D8 S: FB 
CMP : E8       A: E8 X: 00 Y: 00 PC: C8DA S: FB 
BNE : 05       A: E8 X: 00 Y: 00 PC: C8DC S: FB 
BVS : 03       A: E8 X: 00 Y: 00 PC: C8DE S: FB 
JMP : E7 C8    A: E8 X: 00 Y: 00 PC: C8E0 S: FB 
NOP :          A: E8 X: 00 Y: 00 PC: C8E7 S: FB 
CLC :          A: E8 X: 00 Y: 00 PC: C8E8 S: FB 
BIT : 01       A: E8 X: 00 Y: 00 PC: C8E9 S: FB 
LDA : 5F       A: E8 X: 00 Y: 00 PC: C8EB S: FB 
EOR : AA       A: 5F X: 00 Y: 00 PC: C8ED S: FB 
BCS : 0B       A: F5 X: 00 Y: 00 PC: C8EF S: FB 
BPL : 09       A: F5 X: 00 Y: 00 PC: C8F1 S: FB 
CMP : F5       A: F5 X: 00 Y: 00 PC: C8F3 S: FB 
BNE : 05       A: F5 X: 00 Y: 00 PC: C8F5 S: FB 
BVC : 03       A: F5 X: 00 Y: 00 PC: C8F7 S: FB 
JMP : 00 C9    A: F5 X: 00 Y: 00 PC: C8F9 S: FB 
NOP :          A: F5 X: 00 Y: 00 PC: C900 S: FB 
SEC :          A: F5 X: 00 Y: 00 PC: C901 S: FB 
CLV :          A: F5 X: 00 Y: 00 PC: C902 S: FB 
LDA : 70       A: F5 X: 00 Y: 00 PC: C903 S: FB 
EOR : 70       A: 70 X: 00 Y: 00 PC: C905 S: FB 
BNE : 09       A: 00 X: 00 Y: 00 PC: C907 S: FB 
BVS : 07       A: 00 X: 00 Y: 00 PC: C909 S: FB 
BCC : 05       A: 00 X: 00 Y: 00 PC: C90B S: FB 
BMI : 03       A: 00 X: 00 Y: 00 PC: C90D S: FB 
JMP : 16 C9    A: 00 X: 00 Y: 00 PC: C90F S: FB 
NOP :          A: 00 X: 00 Y: 00 PC: C916 S: FB 
CLC :          A: 00 X: 00 Y: 00 PC: C917 S: FB 
BIT : 01       A: 00 X: 00 Y: 00 PC: C918 S: FB 
LDA : 00       A: 00 X: 00 Y: 00 PC: C91A S: FB 
ADC : 69       A: 00 X: 00 Y: 00 PC: C91C S: FB 
BMI : 0B       A: 69 X: 00 Y: 00 PC: C91E S: FB 
BCS : 09       A: 69 X: 00 Y: 00 PC: C920 S: FB 
