BIT : 01       A: FF X: 00 Y: 00 PC: C88B S: FB Cycle: 138 
LDA : 55       A: FF X: 00 Y: 00 PC: C88D S: FB Cycle: 147 
ORA : AA       A: 55 X: 00 Y: 00 PC: C88F S: FB Cycle: 153 
BCS : 0B       A: FF X: 00 Y: 00 PC: C891 S: FB Cycle: 159 
BPL : 09       A: FF X: 00 Y: 00 PC: C893 S: FB Cycle: 165 
CMP : FF       A: FF X: 00 Y: 00 PC: C895 S: FB Cycle: 171 
BNE : 05       A: FF X: 00 Y: 00 PC: C897 S: FB Cycle: 177 
BVC : 03       A: FF X: 00 Y: 00 PC: C899 S: FB Cycle: 183 
JMP : A2 C8    A: FF X: 00 Y: 00 PC: C89B S: FB Cycle: 189 
NOP :          A: FF X: 00 Y: 00 PC: C8A2 S: FB Cycle: 198 
SEC :          A: FF X: 00 Y: 00 PC: C8A3 S: FB Cycle: 204 
CLV :          A: FF X: 00 Y: 00 PC: C8A4 S: FB Cycle: 210 
LDA : 00       A: FF X: 00 Y: 00 PC: C8A5 S: FB Cycle: 216 
ORA : 00       A: 00 X: 00 Y: 00 PC: C8A7 S: FB Cycle: 222 
BNE : 09       A: 00 X: 00 Y: 00 PC: C8A9 S: FB Cycle: 228 
BVS : 07       A: 00 X: 00 Y: 00 PC: C8AB S: FB Cycle: 234 
BCC : 05       A: 00 X: 00 Y: 00 PC: C8AD S: FB Cycle: 240 
BMI : 03       A: 00 X: 00 Y: 00 PC: C8AF S: FB Cycle: 246 
JMP : B8 C8    A: 00 X: 00 Y: 00 PC: C8B1 S: FB Cycle: 252 
NOP :          A: 00 X: 00 Y: 00 PC: C8B8 S: FB Cycle: 261 
CLC :          A: 00 X: 00 Y: 00 PC: C8B9 S: FB Cycle: 267 
BIT : 01       A: 00 X: 00 Y: 00 PC: C8BA S: FB Cycle: 273 
LDA : 55       A: 00 X: 00 Y: 00 PC: C8BC S: FB Cycle: 282 
AND : AA       A: 55 X: 00 Y: 00 PC: C8BE S: FB Cycle: 288 
